feature,importance,rank
time_from_prev_cv_sec,0.25040754675865173,1
time_to_next_cv_sec,0.1585412621498108,2
is_cv_int,0.10372862219810486,3
dt_from_prev_B_sec,0.09373513609170914,4
count_gap_from_prev_cv,0.07935327291488647,5
count_gap_to_next_cv,0.044002991169691086,6
time_since_prev_cv_join_sec,0.03597739711403847,7
prev_cv_join_sec,0.03232258930802345,8
prev_cv_event_N,0.03157871216535568,9
next_cv_event_N,0.030751707032322884,10
dt_to_next_B_sec,0.02622947283089161,11
N,0.02605694904923439,12
N_base_at_t,0.02478920854628086,13
N_norm,0.02282688021659851,14
tB_sec,0.021045776084065437,15
latest_cv_N,0.01865241304039955,16
cv_seen_so_far,0.0,17
join_event_base,0.0,18
